CODE,ENGLISHNAME,SCIENTIFICNAME,RANGE
9361,Emerald-chinned Hummingbird,Abeillia abeillei,MA : se Mexico to n Nicaragua
9711,Speckled Hummingbird,Adelomyia melanogenys,SA : Venezuela to nw Argentina
9771,Purple-backed Sunbeam,Aglaeactis aliciae,SA : n Peru
9772,White-tufted Sunbeam,Aglaeactis castelnaudii,SA : Peru
9768,Shining Sunbeam,Aglaeactis cupripennis,SA : Colombia to Peru
9775,Black-hooded Sunbeam,Aglaeactis pamela,SA : Bolivia
10006,Venezuelan Sylph,Aglaiocercus berlepschi,SA : ne Venezuela
10007,Violet-tailed Sylph,Aglaiocercus coelestis,"SA : Colombia, Ecuador"
9999,Long-tailed Sylph,Aglaiocercus kingii,SA : Venezuela to wc Bolivia
9618,Blue-chested Hummingbird,Amazilia amabilis,LA : Nicaragua to s Ecuador
9569,Amazilia Hummingbird,Amazilia amazilia,SA : Ecuador and Peru
9638,Berylline Hummingbird,Amazilia beryllina,MA : nw Mexico to Honduras
9621,Mangrove Hummingbird,Amazilia boucardi,MA : Costa Rica
9586,White-chested Emerald,Amazilia brevirostris,SA : n
9594,White-bellied Emerald,Amazilia candida,MA : e Mexico to Nicaragua
9568,Chestnut-bellied Hummingbird,Amazilia castaneiventris,SA : nc Colombia
9549,White-bellied Hummingbird,Amazilia chionogaster,SA : n Peru to nw Argentina
9628,Indigo-capped Hummingbird,Amazilia cyanifrons,SA : Colombia
9598,Azure-crowned Hummingbird,Amazilia cyanocephala,MA : e Mexico to Nicaragua
9634,Blue-tailed Hummingbird,Amazilia cyanura,MA : s Mexico to Costa Rica
9619,Charming Hummingbird,Amazilia decora,"MA : sw Costa Rica, w Panama"
9629,Snowy-bellied Hummingbird,Amazilia edward,"MA : Costa Rica, Panama"
9606,Glittering-throated Emerald,Amazilia fimbriata,SA : widespread
9590,Andean Emerald,Amazilia franciae,SA : Colombia to n Peru
9614,Sapphire-spangled Emerald,Amazilia lactea,"SA : n, w Amazonia, se"
9576,Plain-bellied Emerald,Amazilia leucogaster,"SA : ne, e"
9622,Honduran Emerald,Amazilia luciae,MA : Honduras
9620,Purple-chested Hummingbird,Amazilia rosenbergi,"SA : w Colombia, nw Ecuador"
9553,Cinnamon Hummingbird,Amazilia rutila,MA : nw Mexico to Costa Rica
9623,Steely-vented Hummingbird,Amazilia saucerrottei,"LA : Nicaragua, Costa Rica, nw SA"
9651,Copper-rumped Hummingbird,Amazilia tobaci,SA : Venezuela
9562,Rufous-tailed Hummingbird,Amazilia tzacatl,LA : c Mexico to Venezuela and w Ecuador
9579,Versicolored Emerald,Amazilia versicolor,"SA : Amazonia, sc, se"
9601,Violet-crowned Hummingbird,Amazilia violiceps,"NA, MA : sw USA to sw Mexico"
9552,Green-and-white Hummingbird,Amazilia viridicauda,SA : c Peru
9604,Green-fronted Hummingbird,Amazilia viridifrons,MA : s Mexico
9644,Green-bellied Hummingbird,Amazilia viridigaster,"SA : Colombia, w Venezuela"
9605,Cinnamon-sided Hummingbird,Amazilia wagneri,MA : s Mexico
9558,Buff-bellied Hummingbird,Amazilia yucatanensis,"MA : e Mexico through Yucatan Peninsula, also s USA"
9249,Tooth-billed Hummingbird,Androdon aequatorialis,LA : e Panama to nw Ecuador
9176,Broad-tipped Hermit,Anopetia gounellei,SA : e Brazil
9664,Blossomcrown,Anthocephala floriceps,SA : Colombia
9323,Antillean Mango,Anthracothorax dominicus,NA : Hispaniola to Virgin Islands
